PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
30.209999,44.529999,10.570000,5.680000,0.920000,54.830002,-1.200000,-1.650000,291.829987,77.989998,79610.171875,27.23,101.88,44.529999,PM10,5102
31.340000,47.560001,10.620000,6.720000,1.000000,54.450001,-1.040000,-1.490000,289.920013,86.379997,77425.148438,27.23,102.03,47.560001,PM10,5103
31.930000,48.099998,10.600000,5.910000,0.860000,59.259998,-0.750000,-1.260000,291.799988,79.949997,79761.546875,27.24,102.18,48.099998,PM10,5104
32.400002,48.369999,9.680000,5.480000,0.740000,60.020000,-2.400000,0.240000,291.519989,78.830002,78871.179688,27.24,102.33,48.369999,PM10,5105
34.389999,50.590000,9.260000,5.500000,0.720000,60.639999,-4.620000,2.040000,288.450012,87.779999,75228.859375,27.25,102.49,50.294998,PM10,5106
33.750000,50.320000,9.370000,5.640000,0.670000,64.389999,-4.020000,0.890000,289.329987,86.419998,76876.000000,27.25,102.64,50.160000,PM10,5107
33.369999,51.139999,9.970000,6.450000,0.670000,65.750000,-2.770000,-0.920000,290.160004,84.650002,78145.492188,27.25,102.79,50.570000,PM10,5108
25.809999,36.450001,9.460000,3.450000,0.720000,63.180000,-2.690000,4.010000,287.500000,86.510002,72905.257812,27.34,101.11,36.871429,PM2.5,5236
25.930000,37.680000,9.490000,4.310000,0.810000,60.869999,-1.880000,3.990000,288.290009,82.199997,73646.226562,27.35,101.26,37.680000,PM10,5237
28.080000,40.470001,9.880000,4.730000,0.840000,59.060001,-2.850000,4.710000,286.540009,86.110001,71192.203125,27.35,101.41,40.470001,PM10,5238
32.470001,46.270000,10.870000,6.500000,0.900000,56.110001,-3.330000,4.380000,284.260010,98.169998,69163.750000,27.36,101.57,46.385715,PM2.5,5239
32.689999,45.680000,10.800000,5.150000,0.830000,59.029999,-2.510000,1.790000,286.010010,96.080002,72015.390625,27.36,101.72,46.699997,PM2.5,5240
30.799999,44.029999,9.770000,5.210000,0.820000,54.910000,-1.010000,-0.080000,288.880005,87.680000,75952.078125,27.37,101.87,44.029999,PM10,5241
29.520000,45.549999,10.140000,7.830000,1.000000,53.029999,0.330000,-0.390000,290.260010,85.419998,78121.953125,27.37,102.02,45.549999,PM10,5242
30.360001,46.910000,10.060000,6.660000,0.870000,57.720001,-0.200000,-0.250000,292.440002,77.639999,80694.421875,27.37,102.18,46.910000,PM10,5243
30.799999,46.459999,9.100000,5.280000,0.700000,60.540001,-2.430000,0.040000,291.500000,78.599998,78962.703125,27.38,102.33,46.459999,PM10,5244
31.980000,47.930000,8.610000,5.300000,0.670000,60.689999,-4.280000,1.310000,289.230011,85.290001,76254.898438,27.38,102.48,47.930000,PM10,5245
32.330002,47.869999,8.300000,5.230000,0.630000,62.360001,-4.650000,1.960000,288.679993,87.209999,75677.648438,27.38,102.63,47.869999,PM10,5246
32.470001,47.660000,8.390000,4.850000,0.570000,65.019997,-3.670000,0.250000,289.059998,86.430000,76783.250000,27.39,102.79,47.660000,PM10,5247
24.070000,34.020000,9.410000,3.220000,0.650000,64.629997,-2.550000,2.460000,287.820007,85.580002,73002.648438,27.47,100.95,34.385715,PM2.5,5380
24.309999,34.369999,8.830000,3.290000,0.670000,62.630001,-2.780000,3.130000,287.579987,85.580002,72792.617188,27.48,101.1,34.728569,PM2.5,5381
24.420000,35.639999,8.860000,4.430000,0.770000,60.200001,-1.150000,2.190000,288.070007,84.410004,73545.500000,27.48,101.26,35.639999,PM10,5382
