PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
0.660000,0.730000,0.110000,0.790000,0.120000,73.690002,9.320000,1.970000,263.279999,55.720001,59917.910156,32.77,100.55,3.000000,CO,14036
0.630000,0.700000,0.100000,0.760000,0.120000,74.050003,10.270000,2.170000,264.850006,48.720001,60916.898438,32.77,100.71,3.000000,CO,14037
0.640000,0.720000,0.110000,0.770000,0.120000,73.459999,8.900000,0.120000,265.119995,48.509998,61701.828125,32.78,100.87,3.000000,CO,14038
0.710000,0.800000,0.120000,0.870000,0.120000,72.650002,7.080000,-1.650000,264.279999,52.189999,61464.449219,32.78,101.03,3.000000,CO,14039
0.740000,0.840000,0.110000,0.890000,0.120000,72.339996,6.760000,-0.110000,264.089996,52.570000,61420.531250,32.79,101.2,3.000000,CO,14040
0.190000,0.230000,0.020000,0.160000,0.110000,71.889999,6.450000,3.660000,260.200012,57.270000,54930.898438,32.49,93.93,2.750000,CO,14252
0.190000,0.230000,0.020000,0.160000,0.110000,74.779999,6.860000,4.360000,259.339996,62.080002,54268.878906,32.51,94.09,2.750000,CO,14253
0.210000,0.250000,0.020000,0.170000,0.110000,75.650002,7.250000,4.520000,259.160004,63.400002,54239.429688,32.52,94.25,2.750000,CO,14254
0.270000,0.300000,0.020000,0.190000,0.110000,75.540001,7.370000,4.630000,258.450012,66.849998,54932.410156,32.57,94.89,2.750000,CO,14258
0.270000,0.310000,0.020000,0.190000,0.110000,76.449997,9.670000,4.830000,260.549988,56.450001,56261.160156,32.59,95.05,2.750000,CO,14259
0.270000,0.310000,0.020000,0.180000,0.110000,76.809998,9.320000,3.540000,262.630005,50.020000,57795.988281,32.6,95.21,2.750000,CO,14260
0.280000,0.320000,0.020000,0.180000,0.110000,76.870003,8.110000,2.340000,261.899994,53.279999,57373.941406,32.61,95.37,2.750000,CO,14261
