PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
46.310001,49.000000,14.130000,2.510000,0.240000,90.099998,-1.710000,7.940000,288.570007,99.580002,75938.359375,33.66,104.75,64.137505,PM2.5,15620
43.939999,46.090000,14.720000,2.080000,0.240000,98.779999,-0.050000,7.400000,290.209991,96.089996,78172.156250,33.66,104.92,61.174999,PM2.5,15621
41.980000,44.630001,13.970000,2.080000,0.240000,95.629997,0.090000,7.730000,292.529999,87.250000,80680.281250,33.66,105.08,58.724998,PM2.5,15622
40.619999,43.270000,12.990000,2.130000,0.240000,92.779999,-1.150000,6.790000,293.940002,81.809998,82290.078125,33.66,105.25,57.024998,PM2.5,15623
39.230000,41.779999,11.920000,2.340000,0.230000,90.620003,-2.030000,5.020000,294.820007,82.760002,84344.328125,33.66,105.41,55.287498,PM2.5,15624
38.450001,40.970001,11.450000,3.110000,0.240000,88.790001,-1.740000,4.970000,294.929993,85.680000,85133.070312,33.66,105.57,54.312500,PM2.5,15625
36.599998,39.070000,11.230000,3.440000,0.230000,87.309998,-1.090000,4.670000,295.609985,85.389999,86366.523438,33.66,105.74,52.000000,PM2.5,15626
33.529999,35.930000,11.240000,3.990000,0.230000,85.330002,-0.560000,3.960000,296.820007,82.459999,88331.632812,33.66,105.9,47.899998,PM2.5,15627
29.750000,32.110001,10.740000,4.140000,0.220000,82.519997,-0.420000,4.700000,298.119995,76.669998,89434.132812,33.66,106.06,42.500000,PM2.5,15628
26.910000,28.879999,9.890000,3.620000,0.210000,82.269997,-1.350000,5.940000,297.309998,74.889999,86614.132812,33.65,106.23,38.442856,PM2.5,15629
27.500000,29.510000,8.900000,3.230000,0.200000,79.480003,-1.590000,7.480000,293.399994,85.800003,81517.101562,33.65,106.39,39.285713,PM2.5,15630
28.049999,29.950001,8.630000,3.000000,0.190000,80.510002,-1.490000,6.480000,292.140015,90.529999,80163.328125,33.65,106.55,40.071426,PM2.5,15631
19.889999,20.680000,3.520000,0.860000,0.140000,80.860001,2.460000,1.750000,283.559998,84.080002,61832.941406,33.74,101.32,28.414286,PM2.5,15859
20.340000,21.180000,3.780000,0.910000,0.150000,81.410004,2.770000,1.910000,284.470001,80.809998,62830.218750,33.75,101.48,29.057142,PM2.5,15860
20.650000,21.400000,4.080000,1.040000,0.150000,82.589996,2.070000,1.480000,286.019989,76.449997,64630.308594,33.75,101.64,29.500000,PM2.5,15861
21.760000,22.660000,4.370000,1.200000,0.160000,80.230003,1.360000,1.750000,286.380005,76.160004,65381.621094,33.76,101.81,31.085714,PM2.5,15862
22.709999,23.690001,4.700000,1.310000,0.160000,79.139999,1.010000,2.260000,286.290009,77.900002,65611.429688,33.76,101.97,32.442856,PM2.5,15863
23.010000,24.040001,4.890000,1.370000,0.160000,78.720001,0.440000,2.610000,287.010010,77.040001,66768.601562,33.76,102.14,32.871429,PM2.5,15864
23.059999,24.120001,4.940000,1.480000,0.160000,79.440002,-0.060000,3.590000,287.320007,76.330002,67303.539062,33.77,102.3,32.942856,PM2.5,15865
28.410000,29.850000,7.610000,1.160000,0.180000,87.120003,2.120000,5.570000,285.350006,79.540001,65641.171875,33.78,103.28,40.585712,PM2.5,15871
29.430000,30.959999,7.970000,1.290000,0.180000,83.559998,1.410000,4.110000,286.570007,76.639999,67103.960938,33.79,103.44,42.042858,PM2.5,15872
31.090000,32.740002,8.490000,1.520000,0.190000,80.059998,0.320000,2.790000,287.739990,76.209999,69029.992188,33.79,103.61,44.414288,PM2.5,15873
32.400002,34.180000,9.010000,1.600000,0.200000,77.980003,-0.160000,3.980000,288.119995,76.309998,69798.156250,33.79,103.77,46.285717,PM2.5,15874
