PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
38.700001,58.459999,40.669998,15.930000,1.090000,43.650002,1.390000,-2.680000,269.450012,45.340000,84693.468750,36.78,106.1,54.625000,PM2.5,21420
35.250000,51.660000,28.980000,13.930000,0.900000,45.230000,1.700000,-1.690000,269.350006,46.060001,83952.343750,36.78,106.27,50.830002,PM10,21421
33.060001,47.000000,23.450001,12.950000,0.860000,46.470001,2.920000,-1.370000,268.989990,45.279999,82761.296875,36.78,106.44,47.228573,PM2.5,21422
30.910000,42.639999,19.600000,11.550000,0.810000,47.500000,4.820000,-2.170000,268.730011,43.490002,81719.789062,36.78,106.61,44.157143,PM2.5,21423
56.880001,100.400002,32.360001,18.820000,2.240000,38.360001,5.110000,-1.300000,269.029999,46.509998,81744.492188,36.92,105.25,77.349998,PM2.5,21661
54.910000,99.400002,34.490002,17.870001,2.000000,38.549999,4.110000,-0.850000,269.940002,44.820000,83011.343750,36.92,105.42,74.887497,PM2.5,21662
52.990002,98.139999,41.259998,17.410000,1.860000,38.740002,2.510000,-1.140000,270.070007,44.759998,84283.906250,36.92,105.59,74.070000,PM10,21663
50.919998,91.129997,53.990002,18.350000,1.740000,38.730000,1.710000,-2.190000,269.809998,45.029999,85258.968750,36.92,105.76,70.565002,PM10,21664
43.029999,70.919998,55.450001,17.379999,1.330000,43.090000,1.490000,-2.530000,269.500000,44.200001,85669.648438,36.92,105.93,60.459999,PM10,21665
33.900002,49.080002,39.910000,13.670000,0.910000,47.070000,2.010000,-2.590000,269.079987,43.240002,84347.429688,36.92,106.1,49.080002,PM10,21666
31.280001,43.900002,30.870001,12.250000,0.750000,48.189999,2.640000,-1.700000,268.829987,42.980000,83312.289062,36.92,106.27,44.685715,PM2.5,21667
30.020000,41.230000,24.799999,11.470000,0.740000,48.610001,3.100000,-1.060000,268.769989,42.580002,82750.859375,36.91,106.44,42.885715,PM2.5,21668
54.480000,92.239998,32.320000,18.459999,2.440000,38.020000,2.990000,-1.780000,267.940002,51.119999,82094.890625,37.06,105.09,74.349998,PM2.5,21907
51.689999,89.720001,33.639999,17.900000,2.080000,39.169998,5.090000,-2.900000,267.790009,48.570000,80831.859375,37.06,105.26,70.862495,PM2.5,21908
50.029999,88.449997,36.939999,17.530001,1.880000,39.209999,5.320000,-2.720000,269.260010,44.169998,82428.507812,37.06,105.43,69.224998,PM10,21909
48.180000,86.400002,44.450001,17.790001,1.770000,38.980000,3.190000,-2.790000,270.079987,42.490002,84693.117188,37.06,105.6,68.199997,PM10,21910
43.340000,74.570000,46.820000,16.180000,1.500000,42.369999,1.560000,-2.480000,269.790009,43.290001,86093.843750,37.06,105.77,62.285000,PM10,21911
36.259998,57.520000,43.820000,14.250000,1.100000,48.049999,1.480000,-2.410000,269.380005,43.060001,85735.921875,37.05,105.93,53.760002,PM10,21912
29.750000,42.020000,34.270000,11.970000,0.780000,50.529999,2.900000,-2.920000,268.649994,42.090000,83672.453125,37.05,106.1,42.500000,PM2.5,21913
27.690001,37.700001,29.930000,11.130000,0.650000,51.180000,3.800000,-2.090000,268.679993,40.840000,83072.078125,37.05,106.27,39.557144,PM2.5,21914
27.030001,35.860001,26.059999,10.610000,0.630000,50.650002,3.440000,-0.620000,268.989990,40.439999,83332.656250,37.05,106.44,38.614288,PM2.5,21915
26.170000,34.290001,22.430000,9.820000,0.610000,51.549999,4.370000,-1.020000,268.790009,39.610001,82595.953125,37.05,106.61,37.385715,PM2.5,21916
54.040001,84.790001,27.530001,18.100000,2.830000,37.110001,2.440000,-0.990000,268.459991,48.580002,83106.906250,37.19,104.91,73.800003,PM2.5,22156
51.369999,85.650002,32.139999,17.040001,2.290000,39.330002,3.080000,-1.150000,267.470001,50.060001,81067.843750,37.19,105.09,70.462502,PM2.5,22157
49.110001,83.709999,34.470001,16.850000,1.960000,40.009998,5.710000,-2.050000,267.589996,47.330002,80278.593750,37.19,105.26,67.637497,PM2.5,22158
47.139999,81.389999,37.320000,16.520000,1.770000,40.419998,6.250000,-2.980000,268.790009,44.080002,81929.109375,37.19,105.43,65.695000,PM10,22159
44.770000,77.839996,45.340000,17.010000,1.620000,40.389999,3.830000,-3.420000,269.880005,41.660000,84835.976562,37.19,105.6,63.919998,PM10,22160
38.849998,64.959999,44.400002,14.680000,1.290000,45.700001,1.500000,-2.240000,269.910004,42.250000,86638.523438,37.19,105.77,57.480000,PM10,22161
33.320000,52.959999,39.549999,13.280000,0.990000,50.180000,1.350000,-1.730000,269.269989,42.169998,85558.656250,37.19,105.94,51.480000,PM10,22162
28.260000,41.520000,32.779999,11.520000,0.750000,51.689999,3.690000,-2.540000,268.029999,42.250000,82738.273438,37.19,106.11,41.520000,PM10,22163
26.100000,36.549999,29.670000,10.890000,0.630000,53.139999,5.710000,-3.040000,268.390015,39.009998,81859.171875,37.19,106.28,37.285713,PM2.5,22164
25.209999,33.750000,27.780001,10.790000,0.590000,52.520000,4.640000,-1.570000,269.769989,36.660000,83900.976562,37.19,106.45,36.014286,PM2.5,22165
25.090000,32.900002,25.860001,10.440000,0.570000,52.320000,3.840000,-1.210000,269.809998,37.400002,84724.492188,37.18,106.62,35.842857,PM2.5,22166
24.420000,31.320000,24.490000,10.400000,0.550000,52.400002,4.830000,-2.450000,269.190002,38.950001,84441.023438,37.18,106.79,34.885715,PM2.5,22167
22.170000,27.549999,22.320000,9.990000,0.480000,53.220001,5.250000,-3.030000,268.769989,40.400002,84253.140625,37.18,106.96,31.671429,PM2.5,22168
20.670000,24.879999,20.389999,9.690000,0.430000,53.230000,5.000000,-2.910000,268.570007,40.540001,84082.367188,37.18,107.13,29.528572,PM2.5,22169
19.260000,22.770000,18.030001,9.420000,0.390000,53.630001,4.560000,-2.490000,268.859985,40.250000,84456.859375,37.17,107.3,27.514286,PM2.5,22170
45.330002,65.500000,19.740000,12.460000,2.750000,43.980000,2.260000,-1.670000,269.679993,44.209999,84844.640625,37.33,104.74,68.750000,CO,22407
48.669998,77.269997,25.709999,15.830000,2.440000,39.340000,2.130000,-0.120000,269.019989,46.419998,83982.773438,37.33,104.91,67.087494,PM2.5,22408
48.189999,80.040001,36.740002,16.500000,2.150000,39.270000,3.330000,0.430000,268.779999,46.599998,83219.093750,37.33,105.09,66.487495,PM2.5,22409
46.330002,78.320000,38.099998,16.000000,1.880000,40.200001,5.120000,-0.620000,268.859985,45.790001,83345.539062,37.33,105.26,64.162506,PM2.5,22410
43.419998,74.400002,39.580002,14.910000,1.630000,41.930000,5.380000,-2.050000,269.230011,44.400002,84407.093750,37.33,105.43,62.200001,PM10,22411
41.980000,73.110001,53.040001,16.410000,1.450000,41.410000,3.780000,-2.560000,269.850006,42.299999,86403.570312,37.33,105.6,61.555000,PM10,22412
37.759998,64.930000,49.360001,14.390000,1.210000,45.500000,2.250000,-1.470000,269.709991,42.880001,87099.789062,37.33,105.77,57.465000,PM10,22413
32.450001,54.080002,41.860001,12.880000,0.950000,49.680000,1.970000,-0.550000,269.589996,41.360001,86506.976562,37.33,105.94,52.040001,PM10,22414
27.440001,42.650002,34.349998,11.450000,0.740000,51.889999,3.420000,-0.580000,268.470001,41.570000,83942.890625,37.32,106.11,42.650002,PM10,22415
25.370001,37.139999,32.270000,10.770000,0.630000,52.700001,6.390000,-2.010000,268.010010,39.860001,81883.117188,37.32,106.28,37.139999,PM10,22416
24.930000,34.560001,31.870001,11.170000,0.600000,51.750000,6.190000,-2.690000,269.950012,35.669998,84518.539062,37.32,106.45,35.614285,PM2.5,22417
24.480000,32.720001,30.389999,11.520000,0.570000,50.700001,3.730000,-2.230000,270.160004,37.060001,86362.960938,37.32,106.62,34.971428,PM2.5,22418
24.330000,31.740000,34.099998,12.210000,0.540000,50.450001,3.900000,-2.300000,268.959991,40.040001,85472.250000,37.32,106.79,34.757141,PM2.5,22419
22.750000,28.840000,31.950001,11.970000,0.490000,50.910000,5.240000,-2.360000,268.190002,41.570000,84451.390625,37.31,106.96,32.500000,PM2.5,22420
21.340000,26.309999,28.200001,11.410000,0.430000,51.380001,5.680000,-2.010000,268.160004,41.060001,84055.953125,37.31,107.13,30.485714,PM2.5,22421
36.459999,45.520000,10.860000,7.470000,2.940000,52.090000,4.280000,-3.600000,268.850006,44.869999,83247.492188,37.46,104.4,73.500000,CO,22658
35.389999,47.430000,11.760000,7.590000,2.580000,51.419998,3.760000,-3.140000,269.079987,45.299999,84307.476562,37.46,104.57,64.500000,CO,22659
34.610001,50.060001,13.270000,7.650000,2.190000,50.860001,3.110000,-2.640000,268.980011,46.349998,84967.070312,37.46,104.74,54.750000,CO,22660
36.540001,57.720001,17.350000,10.290000,2.000000,45.910000,3.110000,-0.890000,269.410004,45.830002,85963.382812,37.46,104.91,53.860001,PM10,22661
39.150002,65.500000,39.639999,13.360000,1.850000,42.889999,3.240000,-0.480000,270.200012,43.320000,87093.601562,37.46,105.09,57.750000,PM10,22662
35.230000,59.689999,39.139999,11.490000,1.450000,46.119999,3.510000,-1.160000,270.230011,42.189999,87406.367188,37.46,105.26,54.845001,PM10,22663
31.570000,54.310001,37.799999,10.160000,1.170000,48.270000,3.510000,-1.830000,270.049988,41.430000,87680.343750,37.46,105.43,52.154999,PM10,22664
33.279999,58.900002,56.349998,14.580000,1.080000,43.619999,2.900000,-1.810000,270.059998,40.650002,88271.898438,37.46,105.6,54.450001,PM10,22665
33.500000,59.740002,52.270000,14.150000,1.010000,44.919998,2.490000,-0.710000,269.920013,41.560001,88191.968750,37.46,105.77,54.870003,PM10,22666
32.180000,56.349998,47.950001,13.720000,0.880000,47.160000,2.870000,-0.030000,269.829987,40.830002,87609.617188,37.46,105.94,53.174999,PM10,22667
29.330000,48.950001,42.799999,13.160000,0.760000,48.669998,4.170000,0.580000,269.510010,39.590000,86420.406250,37.46,106.11,48.950001,PM10,22668
27.670000,43.570000,40.570000,12.800000,0.680000,49.279999,6.180000,-0.260000,269.309998,38.349998,85492.703125,37.46,106.28,43.570000,PM10,22669
26.420000,39.090000,38.709999,12.890000,0.640000,48.990002,6.490000,-2.270000,269.690002,37.430000,86220.796875,37.46,106.45,39.090000,PM10,22670
25.490000,35.919998,37.139999,13.310000,0.600000,48.189999,5.030000,-2.240000,269.420013,39.169998,86659.679688,37.45,106.62,37.139999,SO2,22671
24.610001,33.480000,40.150002,13.790000,0.560000,48.250000,4.790000,-1.490000,268.709991,40.610001,85813.117188,37.45,106.79,40.150002,SO2,22672
23.850000,31.469999,39.619999,13.900000,0.520000,47.990002,6.140000,-1.620000,268.010010,41.730000,84759.656250,37.45,106.96,39.619999,SO2,22673
22.900000,29.360001,35.709999,13.490000,0.480000,48.080002,6.710000,-1.410000,268.049988,41.590000,84756.656250,37.45,107.13,35.709999,SO2,22674
30.920000,52.500000,44.090000,9.770000,1.420000,48.020000,3.130000,-2.590000,269.730011,44.049999,87999.273438,37.6,105.09,51.250000,PM10,22916
27.730000,48.380001,35.759998,8.610000,1.160000,49.529999,3.000000,-2.760000,269.890015,40.980000,88038.531250,37.6,105.26,48.380001,PM10,22917
25.990000,46.389999,31.670000,8.270000,1.000000,49.610001,3.550000,-2.930000,269.709991,39.310001,87631.687500,37.6,105.43,46.389999,PM10,22918
27.360001,49.930000,46.630001,12.150000,0.920000,45.590000,3.840000,-2.570000,269.859985,37.540001,87627.148438,37.6,105.6,49.930000,PM10,22919
27.540001,50.660000,44.669998,12.880000,0.840000,45.369999,3.280000,-1.310000,270.299988,36.669998,88475.593750,37.6,105.77,50.330002,PM10,22920
29.379999,53.360001,48.180000,14.420000,0.770000,44.400002,3.350000,-0.540000,270.019989,37.910000,88185.671875,37.6,105.94,51.680000,PM10,22921
28.320000,49.490002,47.029999,14.820000,0.700000,44.980000,4.760000,-0.230000,269.779999,37.840000,87425.367188,37.6,106.11,49.490002,PM10,22922
26.969999,45.049999,45.380001,14.780000,0.630000,45.509998,5.700000,-0.580000,270.170013,36.630001,87798.656250,37.59,106.28,45.380001,SO2,22923
26.150000,41.570000,44.250000,14.930000,0.600000,45.389999,5.680000,-1.590000,269.670013,38.020000,87450.750000,37.59,106.45,44.250000,SO2,22924
26.000000,39.610001,44.610001,15.470000,0.580000,44.790001,5.290000,-1.590000,268.940002,39.910000,86750.820312,37.59,106.63,44.610001,SO2,22925
25.290001,37.009998,44.310001,15.600000,0.560000,44.910000,5.020000,-0.680000,268.480011,41.430000,86360.796875,37.59,106.8,44.310001,SO2,22926
24.059999,34.099998,42.709999,15.360000,0.530000,45.400002,5.830000,-0.840000,268.019989,42.029999,85431.250000,37.59,106.97,42.709999,SO2,22927
23.770000,32.799999,42.369999,15.490000,0.510000,44.970001,6.620000,-1.190000,267.760010,42.759998,85137.523438,37.58,107.14,42.369999,SO2,22928
24.049999,32.340000,41.349998,15.690000,0.490000,44.590000,5.790000,-0.700000,268.369995,42.770000,85983.968750,37.58,107.31,41.349998,SO2,22929
